,discount_factor,max_iterations,first_hidden_layer,last_hidden_layer,total_reward
0,0.9,500.0,128.0,8.0,687.0
1,0.9,500.0,128.0,16.0,645.0
2,0.9,500.0,128.0,32.0,615.0
3,0.9,500.0,265.0,8.0,609.0
4,0.9,500.0,265.0,16.0,687.0
5,0.9,500.0,265.0,32.0,663.0
6,0.9,500.0,512.0,8.0,687.0
7,0.9,500.0,512.0,16.0,570.0
8,0.9,500.0,512.0,32.0,489.0
9,0.9,1000.0,128.0,8.0,645.0
10,0.9,1000.0,128.0,16.0,681.0
11,0.9,1000.0,128.0,32.0,687.0
12,0.9,1000.0,265.0,8.0,672.0
13,0.9,1000.0,265.0,16.0,687.0
14,0.9,1000.0,265.0,32.0,609.0
15,0.9,1000.0,512.0,8.0,687.0
16,0.9,1000.0,512.0,16.0,624.0
17,0.9,1000.0,512.0,32.0,639.0
18,0.9,2000.0,128.0,8.0,639.0
19,0.9,2000.0,128.0,16.0,633.0
20,0.9,2000.0,128.0,32.0,759.0
21,0.9,2000.0,265.0,8.0,645.0
22,0.9,2000.0,265.0,16.0,615.0
23,0.9,2000.0,265.0,32.0,645.0
24,0.9,2000.0,512.0,8.0,645.0
25,0.9,2000.0,512.0,16.0,732.0
26,0.9,2000.0,512.0,32.0,624.0
27,0.95,500.0,128.0,8.0,687.0
28,0.95,500.0,128.0,16.0,663.0
29,0.95,500.0,128.0,32.0,609.0
30,0.95,500.0,265.0,8.0,645.0
31,0.95,500.0,265.0,16.0,645.0
32,0.95,500.0,265.0,32.0,714.0
33,0.95,500.0,512.0,8.0,645.0
34,0.95,500.0,512.0,16.0,687.0
35,0.95,500.0,512.0,32.0,687.0
36,0.95,1000.0,128.0,8.0,645.0
37,0.95,1000.0,128.0,16.0,612.0
38,0.95,1000.0,128.0,32.0,639.0
39,0.95,1000.0,265.0,8.0,687.0
40,0.95,1000.0,265.0,16.0,609.0
41,0.95,1000.0,265.0,32.0,747.0
42,0.95,1000.0,512.0,8.0,687.0
43,0.95,1000.0,512.0,16.0,609.0
44,0.95,1000.0,512.0,32.0,645.0
45,0.95,2000.0,128.0,8.0,645.0
46,0.95,2000.0,128.0,16.0,645.0
47,0.95,2000.0,128.0,32.0,663.0
48,0.95,2000.0,265.0,8.0,732.0
49,0.95,2000.0,265.0,16.0,747.0
50,0.95,2000.0,265.0,32.0,639.0
51,0.95,2000.0,512.0,8.0,687.0
52,0.95,2000.0,512.0,16.0,624.0
53,0.95,2000.0,512.0,32.0,663.0
54,0.99,500.0,128.0,8.0,663.0
55,0.99,500.0,128.0,16.0,639.0
56,0.99,500.0,128.0,32.0,591.0
57,0.99,500.0,265.0,8.0,645.0
58,0.99,500.0,265.0,16.0,645.0
59,0.99,500.0,265.0,32.0,612.0
60,0.99,500.0,512.0,8.0,645.0
61,0.99,500.0,512.0,16.0,645.0
62,0.99,500.0,512.0,32.0,645.0
63,0.99,1000.0,128.0,8.0,687.0
64,0.99,1000.0,128.0,16.0,657.0
65,0.99,1000.0,128.0,32.0,615.0
66,0.99,1000.0,265.0,8.0,687.0
67,0.99,1000.0,265.0,16.0,687.0
68,0.99,1000.0,265.0,32.0,663.0
69,0.99,1000.0,512.0,8.0,645.0
70,0.99,1000.0,512.0,16.0,687.0
71,0.99,1000.0,512.0,32.0,687.0
72,0.99,2000.0,128.0,8.0,687.0
73,0.99,2000.0,128.0,16.0,645.0
74,0.99,2000.0,128.0,32.0,612.0
75,0.99,2000.0,265.0,8.0,645.0
76,0.99,2000.0,265.0,16.0,645.0
77,0.99,2000.0,265.0,32.0,687.0
78,0.99,2000.0,512.0,8.0,645.0
79,0.99,2000.0,512.0,16.0,609.0
80,0.99,2000.0,512.0,32.0,687.0
