,batch_size,gamma,epsilon_start,epsilon_end,total_reward
0,16.0,0.9,1.0,0.1,924.0
1,16.0,0.9,1.0,0.01,927.0
2,16.0,0.9,1.0,0.001,948.0
3,16.0,0.9,0.9,0.1,1041.0
4,16.0,0.9,0.9,0.01,1323.0
5,16.0,0.9,0.9,0.001,1182.0
6,16.0,0.9,0.5,0.1,888.0
7,16.0,0.9,0.5,0.01,960.0
8,16.0,0.9,0.5,0.001,1347.0
9,16.0,0.95,1.0,0.1,1002.0
10,16.0,0.95,1.0,0.01,1023.0
11,16.0,0.95,1.0,0.001,1449.0
12,16.0,0.95,0.9,0.1,1458.0
13,16.0,0.95,0.9,0.01,1113.0
14,16.0,0.95,0.9,0.001,1578.0
15,16.0,0.95,0.5,0.1,1011.0
16,16.0,0.95,0.5,0.01,798.0
17,16.0,0.95,0.5,0.001,1140.0
18,16.0,0.99,1.0,0.1,2010.0
19,16.0,0.99,1.0,0.01,1152.0
20,16.0,0.99,1.0,0.001,1665.0
21,16.0,0.99,0.9,0.1,825.0
22,16.0,0.99,0.9,0.01,1386.0
23,16.0,0.99,0.9,0.001,996.0
24,16.0,0.99,0.5,0.1,807.0
25,16.0,0.99,0.5,0.01,1365.0
26,16.0,0.99,0.5,0.001,1638.0
27,32.0,0.9,1.0,0.1,828.0
28,32.0,0.9,1.0,0.01,972.0
29,32.0,0.9,1.0,0.001,1080.0
30,32.0,0.9,0.9,0.1,1008.0
31,32.0,0.9,0.9,0.01,972.0
32,32.0,0.9,0.9,0.001,1128.0
33,32.0,0.9,0.5,0.1,912.0
34,32.0,0.9,0.5,0.01,891.0
35,32.0,0.9,0.5,0.001,1134.0
36,32.0,0.95,1.0,0.1,1089.0
37,32.0,0.95,1.0,0.01,882.0
38,32.0,0.95,1.0,0.001,1053.0
39,32.0,0.95,0.9,0.1,888.0
40,32.0,0.95,0.9,0.01,957.0
41,32.0,0.95,0.9,0.001,1164.0
42,32.0,0.95,0.5,0.1,1047.0
43,32.0,0.95,0.5,0.01,1020.0
44,32.0,0.95,0.5,0.001,1119.0
45,32.0,0.99,1.0,0.1,1182.0
46,32.0,0.99,1.0,0.01,1131.0
47,32.0,0.99,1.0,0.001,1677.0
48,32.0,0.99,0.9,0.1,1278.0
49,32.0,0.99,0.9,0.01,1695.0
50,32.0,0.99,0.9,0.001,1584.0
51,32.0,0.99,0.5,0.1,1038.0
52,32.0,0.99,0.5,0.01,1272.0
53,32.0,0.99,0.5,0.001,1011.0
54,64.0,0.9,1.0,0.1,735.0
55,64.0,0.9,1.0,0.01,1110.0
56,64.0,0.9,1.0,0.001,1137.0
57,64.0,0.9,0.9,0.1,1173.0
58,64.0,0.9,0.9,0.01,813.0
59,64.0,0.9,0.9,0.001,822.0
60,64.0,0.9,0.5,0.1,987.0
61,64.0,0.9,0.5,0.01,1293.0
62,64.0,0.9,0.5,0.001,822.0
63,64.0,0.95,1.0,0.1,1329.0
64,64.0,0.95,1.0,0.01,711.0
65,64.0,0.95,1.0,0.001,1557.0
66,64.0,0.95,0.9,0.1,951.0
67,64.0,0.95,0.9,0.01,1023.0
68,64.0,0.95,0.9,0.001,1203.0
69,64.0,0.95,0.5,0.1,933.0
70,64.0,0.95,0.5,0.01,1008.0
71,64.0,0.95,0.5,0.001,1323.0
72,64.0,0.99,1.0,0.1,1023.0
73,64.0,0.99,1.0,0.01,744.0
74,64.0,0.99,1.0,0.001,1452.0
75,64.0,0.99,0.9,0.1,1026.0
76,64.0,0.99,0.9,0.01,1029.0
77,64.0,0.99,0.9,0.001,867.0
78,64.0,0.99,0.5,0.1,1002.0
79,64.0,0.99,0.5,0.01,888.0
80,64.0,0.99,0.5,0.001,1212.0
